# Fast impact lab (single-baseline local before/after model)
# seed=12345 maxRuns=12000 horizonPrestiges=1 windowRuns=120 totalSeconds=47589 runs=5323
Key	Role	Spent	Currency	PurchaseCount	FirstRun	FirstSeconds	CoveragePercent	BeforeChipsPerSecond	AfterChipsPerSecond	IncomeDeltaPercent	BeforeScorePerRun	AfterScorePerRun	ScoreDeltaPercent	BeforeRunsPerMinute	AfterRunsPerMinute	ThroughputDeltaPercent	BeforeMaxHigh	AfterMaxHigh	HighMultiplier	CycleSpeedupPercent	EstimatedPayback	Verdict
Unlock.AutoSolve	Gate	1200	chips	1	20	1223	97,43	1,813	55,192	2945,079	225,895	1045,342	362,756	0,99	5,145	419,954	16	128	8		2062,502	GATE
Unlock.ModifiersMenu	Gate	3000000	chips	1	5158	34956	26,547	17341,077	422041,051	2333,765	3226,617	11052,158	242,531	20,492	14,412	-29,668	1024	16384	16		1704,263	GATE
Modifier.Unstable Stack	Modifier	24800000	chips	5	5161	34964	26,529	18257,16	430874,557	2260,031	3221,75	11334,633	251,816	20,514	14,257	-30,503	1024	16384	16		210,05	STRONG
Solver.RAND	Solver	1000	chips	1	9	557	98,83	1,808	35,28	1850,803	236,25	939,758	297,781	0,968	3,736	286,069	16	128	8		1574,22	STRONG
Modifier.Queue Scrubber	Modifier	55800000	chips	5	5170	34992	26,471	24366,274	457364,473	1777,039	3273	12333,85	276,836	20,404	13,728	-32,717	1024	16384	16		97,755	STRONG
Modifier.Miner's Pickaxe	Modifier	62000000	chips	5	5176	35009	26,435	27046,942	473436,916	1650,427	3241,567	12948,625	299,456	20,439	13,402	-34,429	1024	16384	16		90,577	STRONG
Solver.MERG	Solver	3000	chips	1	46	1417	97,022	3,661	63,876	1644,662	236	1248,267	428,927	1,914	4,827	152,135	32	128	4		926,74	STRONG
Modifier.Catalyst Stack	Modifier	3000000	chips	1	5184	35033	26,385	32192,861	491081,525	1425,436	3289,058	13794,317	319,4	20,371	12,969	-36,337	1024	16384	16		1920,692	STRONG
Unlock.AutoRestart	Gate	8000	chips	1	100	2128	95,528	20,9	74,019	254,157	767,303	1322,725	72,386	2,808	4,947	76,148	128	128	1		301,857	GATE
Modifier.Mirror Stack	Modifier	3000000	chips	1	5190	35051	26,346	37537,784	507673,558	1252,433	3353,075	14402,9	329,543	20,227	12,696	-37,231	1024	16384	16		1964,799	STRONG
Unlock.SolverTuning	Gate	30000	chips	1	411	6329	86,7	75,766	119,216	57,349	1311,775	1593,517	21,478	4,369	5,421	24,073	128	128	1		59,759	GATE
Upgrade.ChipYield	Economy	25016000	chips	10	54	1524	96,797	5,985	66,437	1010,053	360,491	1255,6	248,303	2,103	4,882	132,155	64	128	2		0,111	STRONG
Unlock.AgentsMenu	Gate	120000	chips	1	2380	23930	49,716	251,508	1972,937	684,442	2597,833	2509,958	-3,383	6,176	6,64	7,514	256	256	1		339,398	STRONG
Agent.Merge Broker	Agent	60000	chips	1	2386	23986	49,598	298,648	2025,137	578,102	2612,458	2493,875	-4,539	6,214	6,686	7,599	256	256	1		679,186	STRONG
Agent.Highwater Analyst	Agent	120000	chips	1	2393	24050	49,464	375,224	2067,062	450,888	2610,408	2485,808	-4,773	6,277	6,748	7,497	256	256	1		331,875	STRONG
Solver.BAL	Solver	6000	chips	1	74	1798	96,221	13,313	72,266	442,805	590,685	1311,642	122,054	2,451	5	103,968	64	128	2		449,911	STRONG
Upgrade.PassiveYield	Economy	7289500	chips	10	61	1620	96,596	8,763	68,057	676,653	456,033	1269,517	178,382	2,24	4,926	119,9	64	128	2		0,374	STRONG
Upgrade.ActiveMultiplier	Economy	8219700	chips	10	66	1691	96,447	10,565	69,85	561,137	512,123	1289,025	151,702	2,329	4,953	112,713	64	128	2		0,331	STRONG
Solver.PLAN-3	Solver	130000	chips	1	2415	24250	49,044	690,966	2131,378	208,464	2580,133	2395,208	-7,167	6,515	7,099	8,953	256	256	1		258,602	STRONG
Upgrade.Speed	Throughput	7788000	chips	10	81	1899	96,01	15,551	74,401	378,415	646,7	1326,317	105,09	2,548	5,058	98,52	128	128	1		0,345	STRONG
