# Fast impact lab (single-baseline local before/after model)
# seed=12345 maxRuns=8000 horizonPrestiges=3 windowRuns=120 totalSeconds=73288 runs=8000
Key	Role	Spent	Currency	PurchaseCount	FirstRun	FirstSeconds	CoveragePercent	DirectDeltaPercent	DirectDriver	BeforeChipsPerSecond	AfterChipsPerSecond	IncomeDeltaPercent	BeforeScorePerRun	AfterScorePerRun	ScoreDeltaPercent	BeforeRunsPerMinute	AfterRunsPerMinute	ThroughputDeltaPercent	BeforeMaxHigh	AfterMaxHigh	HighMultiplier	CycleSpeedupPercent	EstimatedPayback	Verdict
Upgrade.PassiveYield	Economy	10279000	chips	20	61	1620	97,79	15999900	passive +15999900%	8,763	68,057	676,653	456,033	1269,517	178,382	2,24	4,926	119,9	64	128	2		0,413	STRONG
Unlock.AutoSolve	Gate	2400	chips	2	20	1223	98,331	49282,712	output +49282,7%	1,813	55,192	2945,079	225,895	1045,342	362,756	0,99	5,145	419,954	16	128	8		1602,823	GATE
Upgrade.Speed	Throughput	11576000	chips	19	81	1899	97,409	4550,001	output +4550%	15,551	74,434	378,627	646,7	1326,317	105,09	2,548	5,058	98,52	128	128	1		0,363	STRONG
Upgrade.PassiveTickRate	Economy	12230000	chips	20	91	2018	97,246	3036	passive +3036%	18,32	75,444	311,811	710,1	1340,883	88,83	2,692	5,021	86,473	128	128	1		0,333	STRONG
Unlock.AgentsMenu	Gate	240000	chips	2	2442	23744	67,601	2400	output +2400%	262,157	1711,984	553,038	2587,617	2597,767	0,392	5,957	6,494	9,024	256	256	1		299,29	STRONG
Solver.RAND	Solver	2000	chips	2	9	557	99,24	0	output +0%	1,808	35,28	1850,803	236,25	939,758	297,781	0,968	3,736	286,069	16	128	8		1217,189	STRONG
Solver.MERG	Solver	6000	chips	2	46	1417	98,066	-45,934	throughput -45,9%	3,661	63,876	1644,662	236	1248,267	428,927	1,914	4,827	152,135	32	128	4		721,274	STRONG
Unlock.AutoRestart	Gate	16000	chips	2	100	2128	97,096	0	output +0%	20,9	75,493	261,208	767,303	1379,442	79,778	2,808	4,811	71,294	128	128	1		242,8	GATE
Unlock.ModifiersMenu	Gate	3000000	chips	1	4165	31180	57,455	380	output +380%	22998,118	21225,512	-7,708	3336,383	12059,354	261,45	20,442	0,556	-97,278	512	2048	4		0	GATE
Unlock.ExtraAgentSlot	Gate	3000000	chips	2	3274	28413	61,23	0	output +0%	7224,339	9602,79	32,923	2653,258	2852,058	7,493	16,461	16,363	-0,596	256	512	2		35,577	GATE
Upgrade.StackCapacity	Gate	16364000	chips	9	162	2866	96,09	260	output +260%	62,382	75,673	21,307	1209,95	1632,325	34,908	4,885	3,893	-20,297	128	128	1		0,057	GATE
Upgrade.ScalingFrequency	Gate	24690000	chips	17	2210	21325	70,903	180,8	board +180,8%	226,78	238,1	4,992	2493,958	2556,933	2,525	5,437	5,555	2,161	128	256	2		0,024	GATE
Upgrade.ChipYield	Economy	29032000	chips	18	54	1524	97,92	583,2	income +583,2%	5,985	66,437	1010,053	360,491	1255,6	248,303	2,103	4,882	132,155	64	128	2		0,149	STRONG
Upgrade.ActiveMultiplier	Economy	10501400	chips	20	66	1691	97,693	800	passive +800%	10,565	69,85	561,137	512,123	1289,025	151,702	2,329	4,953	112,713	64	128	2		0,404	STRONG
Agent.Quartermaster	Agent	120000	chips	2	2447	23790	67,539	16,64	output +16,6%	302,075	1722,548	470,238	2593,058	2580,692	-0,477	5,993	6,54	9,136	256	256	1		585,918	STRONG
Solver.BAL	Solver	12000	chips	2	74	1798	97,546	0	output +0%	13,313	72,27	442,837	590,685	1311,642	122,054	2,451	5	103,968	64	128	2		351,229	STRONG
Agent.Restart Sponsor	Agent	240000	chips	2	2462	23929	67,349	10,25	agent +10,3%	456,016	1769,729	288,085	2594,883	2537,592	-2,208	6,114	6,691	9,433	256	256	1		270,178	STRONG
Solver.PLAN-3	Solver	260000	chips	2	2474	24047	67,188	110,718	solver +110,7%	623,801	1835,906	194,309	2663,592	2492,425	-6,426	6,163	6,797	10,297	256	256	1		229,557	STRONG
Upgrade.Difficulty	Gate	11280000	chips	9	895	11359	84,501	408,8	board +408,8%	185,182	180,878	-2,324	1772,808	1540,408	-13,109	6,922	8,18	18,176	128	128	1		0	STRONG
Research.Seed Capital	Meta	1	Insight	1	4277	43587	40,526	0	output +0%	23287,492	26,469	-99,886	12214,825	880,858	-92,789	0,609	3,072	404,422	2048	128	0,063		0	STRONG
Solver.COMBO	Solver	360000	chips	2	2514	24476	66,602	36,759	output +36,8%	1117,017	2167,224	94,019	2707,6	2256,725	-16,652	6,155	8,099	31,592	256	512	2		142,394	STRONG
