PPO learning measurement (shared model, 8 parallel workers) | hidden 64 | cap 10 q5 diff 3
Modifiers: Unstable Stack L5, Catalyst Stack L1, Mirror Stack L1, Joker L1, Miner's Pickaxe L5, Queue Scrubber L5, Neural Accelerator L1
Effective training runs: 100 032 in 3971s  (25 runs/s, ~8x wall-clock speedup)
Note: weights are averaged across workers each cycle (parallel SGD); the curve is the consensus model's cumulative progress.

EffectiveRuns	AvgHigh	AvgScore	PeakHigh
1-300	154	1659	2048
301-600	197	2040	1024
601-900	290	2551	4096
901-1200	325	2943	4096
1201-1500	389	3247	4096
1501-1800	448	3565	4096
1801-2100	437	3563	2048
2101-2400	423	3514	4096
2401-2700	448	3521	4096
2701-3000	413	3417	2048
3001-3300	414	3498	4096
3301-3600	361	3311	1024
3601-3900	433	3579	4096
3901-4200	366	3353	2048
4201-4500	345	3234	4096
4501-4800	297	3307	1024
4801-5100	352	3461	4096
5101-5400	387	3804	2048
5401-5700	393	3819	2048
5701-6000	357	3644	2048
6001-6300	347	3567	2048
6301-6600	386	3880	2048
6601-6900	383	3905	1024
6901-7200	359	3616	1024
7201-7500	355	3652	1024
7501-7800	395	3812	1024
7801-8100	442	4029	8192
8101-8400	412	4031	1024
8401-8700	393	3790	2048
8701-9000	394	3861	2048
9001-9300	426	4017	2048
9301-9600	441	4341	2048
9601-9900	464	4531	2048
9901-10200	450	4386	4096
10201-10500	408	4017	4096
10501-10800	386	3686	2048
10801-11100	377	3716	2048
11101-11400	467	4162	8192
11401-11700	401	3928	4096
11701-12000	444	4097	2048
12001-12300	455	3996	2048
12301-12600	412	3723	2048
12601-12900	366	3467	1024
12901-13200	384	3853	2048
13201-13500	433	4163	2048
13501-13800	462	4389	8192
13801-14100	432	4160	2048
14101-14400	408	3925	4096
14401-14700	383	3882	2048
14701-15000	436	4056	2048
15001-15300	414	3815	1024
15301-15600	401	3800	2048
15601-15900	451	4118	2048
15901-16200	490	4209	8192
16201-16500	486	4156	2048
16501-16800	459	4066	2048
16801-17100	435	3854	2048
17101-17400	442	3716	4096
17401-17700	421	3784	2048
17701-18000	439	3671	4096
18001-18300	426	3801	2048
18301-18600	457	3740	4096
18601-18900	449	3843	2048
18901-19200	511	4152	2048
19201-19500	510	3786	16384
19501-19800	448	3542	2048
19801-20100	405	3373	2048
20101-20400	509	3932	8192
20401-20700	551	3964	16384
20701-21000	527	4015	2048
21001-21300	516	4223	4096
21301-21600	558	4179	4096
21601-21900	457	3579	4096
21901-22200	500	3927	2048
22201-22500	481	3823	4096
22501-22800	541	3916	8192
22801-23100	678	3970	65536
23101-23400	439	3310	4096
23401-23700	443	3456	8192
23701-24000	466	3616	4096
24001-24300	523	4096	4096
24301-24600	518	4133	4096
24601-24900	503	3997	4096
24901-25200	452	3838	2048
25201-25500	466	3629	4096
