# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
12	Auto Solve	1200	165	1365
36	Solver MERG	3000	5	4205
42	Chip Yield	4000	8	8208
50	Solver BAL	6000	698	14898
56	Speed L1	6000	648	20848
64	Auto Restart	8000	85	28285
77	Stack Cap L1	12000	23	40223
92	Solver STALL	18000	1057	59257
121	Solver HEUR	30000	178	88378
142	Solver Tuning	30000	1534	119734
162	Speed L2	30000	41	148241
194	Queue Preview	40000	1364	189564
224	Chip Yield	40000	1147	229347
257	Difficulty L1	60000	890	289090
310	Stack Cap L2	70000	1636	359836
359	Solver LOOK	80000	905	439105
404	Agents Menu	120000	2790	560990
408	Agent Merge Broker	60000	41393	659593
414	Agent Highwater Analyst	120000	70928	809128
418	Solver PLAN-3	130000	4020	872220
425	Speed L3	150000	14269	1032469
433	Solver COMBO	180000	4058	1202258
446	Solver MOCA	220000	2315	1420515
458	Agent Score Auditor	220000	1796	1639996
476	Chip Yield	350000	6411	1994611
493	Solver PLAN-5	400000	11242	2399442
513	Stack Cap L3	400000	11512	2799712
525	Queue Preview	400000	21846	3210046
538	Agent Overclocker	400000	6566	3594766
560	Difficulty L2	600000	26858	4215058
583	Agent Quartermaster	650000	4861	4843061
607	Speed L4	800000	32608	5670808
629	Solver MOCA+	900000	18988	6557188
661	Agent Restart Sponsor	1000000	1720	7539920
702	Extra Agent Slot	1500000	4115	9042315
752	Agent Token Prospector	1500000	1164	10539364
806	Solver MCTS	1800000	5735	12343935
871	Stack Cap L4	2200000	22918	14561118
927	Agent Move Dividend	2200000	25523	16763723
992	Chip Yield	2500000	26438	19264638
1053	Agent Velocity Trader	3000000	6830	22245030
1135	Speed L5	4000000	19054	26257254
1256	Difficulty L3	6000000	6802	32245002
1442	Stack Cap L5	11000000	56846	43295046
1673	Chip Yield	15000000	146354	58384554

# Per-run economy (sampled):
Run	Chips	GrossIncome	CumEarned	Solver	Score	Moves	High	Bought
1	188	188	188	Rand	430	80	16	
2	312	124	312	Rand	269	60	16	
3	433	121	433	Rand	270	59	16	
4	520	87	520	Rand	166	50	8	
5	601	81	601	Rand	157	47	8	
6	714	113	714	Rand	232	59	8	
7	787	73	787	Rand	140	40	8	
8	897	110	897	Rand	226	61	8	
9	1005	108	1005	Rand	209	56	16	
10	1075	70	1075	Rand	124	40	8	
11	1170	95	1170	Rand	191	52	8	
12	165	195	1365	Rand	423	85	16	Auto Solve
20	1033	145	2233	Rand	306	66	16	
36	5	144	4205	Rand	321	67	16	Solver MERG
40	2148	336	6348	Merge	718	105	32	
42	8	922	8208	Merge	1568	161	64	Chip Yield
50	698	1008	14898	Merge	1303	151	64	Solver BAL
56	648	1138	20848	Merge	1311	151	64	Speed L1
60	4658	693	24858	Merge	955	127	32	
64	85	587	28285	Merge	821	113	32	Auto Restart
77	23	636	40223	Merge	886	118	32	Stack Cap L1
80	3742	1518	43942	Merge	1834	216	64	
92	1057	1104	59257	Merge	1421	150	64	Solver STALL
100	10032	602	68232	AntiStall	808	114	32	
120	29184	1084	87384	AntiStall	1379	164	64	
121	178	994	88378	AntiStall	1286	145	64	Solver HEUR
140	28104	713	116304	Heur	1014	134	32	
142	1534	1565	119734	Heur	1911	204	64	Solver Tuning
160	27236	1427	145436	Heur	1810	183	64	
162	41	1329	148241	Heur	1625	191	64	Speed L2
180	22409	1209	170609	Heur	1492	171	64	
194	1364	2358	189564	Heur	2313	232	128	Queue Preview
200	9866	1422	198066	Heur	1695	180	64	
220	35461	1849	223661	Heur	2123	229	64	
224	1147	1332	229347	Heur	1692	182	64	Chip Yield
240	27390	1812	255590	Heur	1916	186	64	
257	890	1815	289090	Heur	1857	193	64	Difficulty L1
260	4634	1243	292834	Heur	1369	137	64	
280	29256	774	317456	Heur	1016	110	32	
300	53741	828	341941	Heur	1071	118	32	
310	1636	4910	359836	Heur	3258	159	256	Stack Cap L2
320	21851	841	380051	Heur	1075	118	32	
340	52563	1754	410763	Heur	1932	154	64	
