# Progression simulation
# runs=2240 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
9	Solver RAND	1000	5	1005
20	Auto Solve	1200	33	2233
46	Solver MERG	3000	34	5234
54	Chip Yield	4000	195	9395
61	Solver BAL	6000	35	15235
69	Speed L1	6000	688	21888
79	Auto Restart	8000	591	29791
92	Stack Cap L1	12000	49	41249
109	Solver STALL	18000	501	59701
146	Solver HEUR	30000	731	89931
172	Solver Tuning	30000	90	119290
198	Speed L2	30000	304	149504
237	Queue Preview	40000	921	190121
269	Chip Yield	40000	540	229740
314	Difficulty L1	60000	13	289213
383	Stack Cap L2	70000	925	360125
447	Solver LOOK	80000	383	439583
510	Agents Menu	120000	2151	561351
516	Agent Merge Broker	60000	5703	624903
527	Agent Highwater Analyst	120000	11563	750763
535	Solver PLAN-3	130000	3566	872766
544	Speed L3	150000	2723	1021923
553	Solver COMBO	180000	1970	1201170
572	Solver MOCA	220000	3527	1422727
587	Agent Score Auditor	220000	18913	1658113
611	Chip Yield	350000	8591	1997791
635	Solver PLAN-5	400000	7758	2396958
658	Stack Cap L3	400000	10596	2799796
677	Queue Preview	400000	14908	3204108
695	Agent Overclocker	400000	8650	3597850
720	Difficulty L2	600000	31062	4220262
752	Agent Quartermaster	650000	6682	4845882
792	Speed L4	800000	5231	5644431
834	Solver MOCA+	900000	2547	6541747
883	Agent Restart Sponsor	1000000	28457	7567657
952	Extra Agent Slot	1500000	27956	9067156
1024	Agent Token Prospector	1500000	16446	10555646
1110	Solver MCTS	1800000	11012	12350212
1216	Stack Cap L4	2200000	28771	14567971
1305	Agent Move Dividend	2200000	2641	16741841
1406	Chip Yield	2500000	10684	19249884
1509	Agent Velocity Trader	3000000	22876	22262076
1651	Speed L5	4000000	9840	26249040
1859	Difficulty L3	6000000	5592	32244792
1963	Modifiers Menu	3000000	2172	35241372
1970	Modifier Unstable Stack L1	800000	71069	36110269
1981	Modifier Unstable Stack L2	1600000	221192	37860392
1991	Modifier Queue Scrubber L1	1800000	55056	39494256
2003	Modifier Miner's Pickaxe L1	2000000	42753	41481953
2021	Modifier Catalyst Stack L1	3000000	66603	44505803
2031	Modifier Mirror Stack L1	3000000	283141	47722341
2037	Modifier Unstable Stack L3	3200000	154397	50793597
2044	Modifier Queue Scrubber L2	3600000	949193	55188393
2051	Modifier Miner's Pickaxe L2	4000000	277451	58516651
2057	Modifier Joker L1	4500000	240358	62979558
2062	Modifier Neural Accelerator L1	6000000	1969346	70708546
2068	Modifier Unstable Stack L4	6400000	14805	75154005
2078	Modifier Queue Scrubber L3	7200000	53859	82393059
2085	Modifier Miner's Pickaxe L3	8000000	4440394	94779594
2092	Stack Cap L5	11000000	695345	102034545
2105	Modifier Unstable Stack L5	12800000	422413	114561613
2117	Modifier Queue Scrubber L4	14400000	1200803	129740003
2130	Chip Yield	15000000	872106	144411306
2142	Modifier Miner's Pickaxe L4	16000000	800546	160339746
2158	Modifier Queue Scrubber L5	28800000	392096	188731296
2180	Modifier Miner's Pickaxe L5	32000000	2197428	222536628
2240	Solver PPO	100000000	554918	320894118

# Per-run economy (sampled):
Run	Chips	GrossIncome	CumEarned	Solver	Score	Moves	High	Bought
1	188	188	188	Rand	430	80	16	
2	312	124	312	Rand	269	60	16	
3	433	121	433	Rand	270	59	16	
4	520	87	520	Rand	166	50	8	
5	601	81	601	Rand	157	47	8	
6	714	113	714	Rand	232	59	8	
7	787	73	787	Rand	140	40	8	
8	897	110	897	Rand	226	61	8	
9	5	108	1005	Rand	209	56	16	Solver RAND
10	75	70	1075	Rand	124	40	8	
11	170	95	1170	Rand	191	52	8	
12	365	195	1365	Rand	423	85	16	
20	33	145	2233	Rand	306	66	16	Auto Solve
46	34	70	5234	Rand	139	41	8	Solver MERG
50	1930	579	7130	Merge	1303	151	64	
54	195	345	9395	Merge	797	115	32	Chip Yield
61	35	662	15235	Merge	1050	126	32	Solver BAL
69	688	882	21888	Merge	1221	159	64	Speed L1
79	591	906	29791	Merge	1293	146	64	Auto Restart
92	49	775	41249	Merge	1130	132	64	Stack Cap L1
100	9236	1113	50436	Merge	1650	188	64	
109	501	722	59701	Merge	1073	127	64	Solver STALL
146	731	1741	89931	AntiStall	2239	187	128	Solver HEUR
150	4890	731	94090	Heur	1112	152	32	
172	90	699	119290	Heur	1105	148	32	Solver Tuning
198	304	1990	149504	Heur	2624	220	128	Speed L2
200	1745	851	150945	Heur	1292	145	64	
237	921	1193	190121	Heur	1811	184	64	Queue Preview
250	16890	2096	206090	Heur	2782	250	128	
269	540	571	229740	Heur	898	123	32	Chip Yield
300	38765	1112	267965	Heur	1432	164	64	
314	13	804	289213	Heur	1073	141	32	Difficulty L1
350	35663	766	324863	Heur	1064	119	32	
383	925	991	360125	Heur	1353	127	64	Stack Cap L2
400	21453	913	380653	Heur	1258	127	64	
447	383	1111	439583	Heur	1569	137	64	Solver LOOK
450	4841	1495	444041	Look	1961	166	64	
500	99793	1852	538993	Look	2355	151	128	
510	2151	2475	561351	Look	3113	192	128	Agents Menu
516	5703	12380	624903	Look	2934	187	128	Agent Merge Broker
527	11563	12854	750763	Look	2318	167	128	Agent Highwater Analyst
535	3566	13597	872766	Look	2212	160	128	Solver PLAN-3
544	2723	9725	1021923	Plan3	1900	158	64	Speed L3
550	100742	12711	1119942	Plan3	2206	164	64	
553	1970	47038	1201170	Plan3	5575	268	256	Solver COMBO
572	3527	6878	1422727	Combo	1335	132	64	Solver MOCA
587	18913	20499	1658113	Combo	3119	167	128	Agent Score Auditor
600	216623	16108	1855823	Combo	2544	168	128	
611	8591	9519	1997791	Combo	1730	146	64	Chip Yield
635	7758	15496	2396958	Combo	2220	166	128	Solver PLAN-5
650	249416	15228	2638616	Combo	2128	158	128	
658	10596	28397	2799796	Combo	3617	226	128	Stack Cap L3
677	14908	15158	3204108	Combo	2293	186	64	Queue Preview
695	8650	14248	3597850	Combo	2027	148	128	Agent Overclocker
700	143269	25843	3732469	Combo	3309	206	128	
720	31062	46986	4220262	Combo	4952	245	256	Difficulty L2
750	634684	15103	4823884	Combo	2252	119	128	
752	6682	10970	4845882	Combo	1768	110	128	Agent Quartermaster
792	5231	21962	5644431	Combo	2821	128	256	Speed L4
800	169026	13077	5808226	Combo	1994	116	128	
834	2547	21357	6541747	Combo	2621	142	256	Solver MOCA+
850	333322	18049	6872522	Combo	2326	155	128	
883	28457	40289	7567657	Combo	5036	186	256	Agent Restart Sponsor
