# Progression simulation
# runs=29427 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=12 ppoNormalRunsPerPrestige=100
# finalChips=3962221 totalEarned=58840421 prestiges=8 insight=998 cycleInsight=0 lifetimeInsight=8478 simSeconds=200620
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
0	1	3401	0	24057	24057	1	False
1	3402	6504	24057	47202	23145	45	False
2	6505	9953	47202	71384	24181	95	False
3	9954	13408	71384	95365	23981	126	False
4	13409	16795	95365	117919	22554	200	False
5	16796	20175	117919	140264	22345	287	False
6	20176	23113	140264	161089	20825	347	False
7	23114	26471	161089	183197	22108	472	False
8	26472	29427	183197	200620	17423	0	True

# Phases:
Cycle	Phase	Run	SimSeconds	CycleSeconds
0	First solver bought	9	557	557
0	Auto Solve	20	1223	1223
0	Auto Restart	97	2066	2066
0	Solver Tuning	249	4381	4381
0	Agents Menu	701	8949	8949
0	All agents hired	2473	17250	17250
0	Modifiers Menu	3200	19543	19543
0	All chip upgrades maxed	3324	20042	20042
0	All modifiers maxed (PPO gate)	3355	20197	20197
0	PPO bought	3394	20401	20401
0	PPO Normal mode	3400	23401	23401
0	Prestige #1	3401	24057	24057
1	First solver bought	3410	24641	584
1	Auto Solve	3419	25227	1170
1	Auto Restart	3494	26051	1994
1	Solver Tuning	3652	28415	4357
1	Agents Menu	4098	32946	8889
1	All agents hired	5882	41256	17198
1	Modifiers Menu	6270	42535	18478
1	All chip upgrades maxed	6423	43154	19097
1	All modifiers maxed (PPO gate)	6458	43329	19272
1	PPO bought	6497	43532	19475
1	PPO Normal mode	6503	46532	22475
1	Prestige #2	6504	47202	23145
2	First solver bought	6513	47744	542
2	Auto Solve	6524	48440	1238
2	Auto Restart	6593	49220	2018
2	Solver Tuning	6746	51529	4327
2	Agents Menu	7191	56048	8846
2	All agents hired	8986	64440	17238
2	Modifiers Menu	9747	66815	19612
2	All chip upgrades maxed	9875	67309	20107
2	All modifiers maxed (PPO gate)	9906	67466	20264
2	PPO bought	9946	67677	20475
2	PPO Normal mode	9952	70677	23475
2	Prestige #3	9953	71384	24181
3	First solver bought	9962	71945	561
3	Auto Solve	9971	72528	1144
3	Auto Restart	10049	73378	1995
3	Solver Tuning	10215	75822	4438
3	Agents Menu	10663	80376	8992
3	All agents hired	12447	88697	17313
3	Modifiers Menu	13194	91047	19664
3	All chip upgrades maxed	13321	91559	20175
3	All modifiers maxed (PPO gate)	13358	91736	20353
3	PPO bought	13401	91959	20575
3	PPO Normal mode	13407	94719	23335
3	Prestige #4	13408	95365	23981
4	First solver bought	13408	95365	0
4	Auto Solve	13408	95365	0
4	Auto Restart	13478	96159	794
4	Solver Tuning	13634	98472	3107
4	Agents Menu	14082	103051	7686
4	All agents hired	15848	111302	15937
4	Modifiers Menu	16595	113664	18299
4	All chip upgrades maxed	16714	114130	18765
4	All modifiers maxed (PPO gate)	16749	114301	18937
4	PPO bought	16788	114499	19134
4	PPO Normal mode	16794	117259	21894
4	Prestige #5	16795	117919	22554
5	First solver bought	16795	117919	0
5	Auto Solve	16795	117919	0
5	Auto Restart	16865	118707	788
5	Solver Tuning	17022	121054	3135
5	Agents Menu	17486	125693	7775
5	All agents hired	19245	133928	16009
5	Modifiers Menu	19975	136241	18322
5	All chip upgrades maxed	20094	136700	18782
5	All modifiers maxed (PPO gate)	20126	136861	18942
5	PPO bought	20169	137082	19164
5	PPO Normal mode	20174	139602	21684
5	Prestige #6	20175	140264	22345
6	First solver bought	20175	140264	0
6	Auto Solve	20175	140264	0
6	Auto Restart	20214	140757	494
6	Solver Tuning	20378	143181	2917
6	Agents Menu	20822	147699	7436
6	All agents hired	22623	156103	15839
6	Modifiers Menu	22886	157008	16744
6	All chip upgrades maxed	23036	157616	17352
6	All modifiers maxed (PPO gate)	23069	157782	17518
6	PPO bought	23107	157986	17722
6	PPO Normal mode	23112	160506	20242
6	Prestige #7	23113	161089	20825
7	First solver bought	23113	161089	0
7	Auto Solve	23113	161089	0
7	Auto Restart	23152	161574	485
7	Solver Tuning	23313	163963	2874
