# Progression simulation
# runs=27772 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=20 ppoNormalRunsPerPrestige=1000 ppoTrainingMovesPerRun=150
# finalChips=10000 totalEarned=250000 prestiges=20 insight=24262 cycleInsight=0 lifetimeInsight=837173 simSeconds=353145
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
0	1	3401	0	40046	40046	1	False
1	3402	6504	40046	79104	39058	156	False
2	6505	9873	79104	112213	33109	740	False
3	9874	12134	112213	138434	26221	1637	False
4	12135	13925	138434	155432	16997	2919	False
5	13926	15682	155432	172637	17205	3585	False
6	15683	16973	172637	187262	14625	3502	False
7	16974	18178	187262	201762	14500	3592	False
8	18179	19164	201762	215274	13512	3536	False
9	19165	20099	215274	228569	13295	4040	False
10	20100	20951	228569	241113	12543	3529	False
11	20952	21801	241113	253903	12790	4056	False
12	21802	22621	253903	266731	12827	4055	False
13	22622	23409	266731	279267	12536	4031	False
14	23410	24158	279267	291672	12405	3965	False
15	24159	24939	291672	304276	12604	4030	False
16	24940	25733	304276	316775	12499	4058	False
17	25734	26445	316775	329048	12272	4067	False
18	26446	27117	329048	341271	12223	4053	False
19	27118	27772	341271	353145	11874	4017	False

# Phases:
Cycle	Phase	Run	SimSeconds	CycleSeconds
0	First solver bought	9	557	557
0	Auto Solve	20	1223	1223
0	Auto Restart	97	2066	2066
0	Solver Tuning	249	4381	4381
0	Agents Menu	701	8949	8949
0	All agents hired	2473	17250	17250
0	Modifiers Menu	3200	19543	19543
0	All chip upgrades maxed	3324	20042	20042
0	All modifiers maxed (PPO gate)	3355	20197	20197
0	PPO bought	3394	20401	20401
0	PPO Normal mode	3400	31735	31735
0	Prestige #1	3401	40046	40046
1	First solver bought	3410	40630	584
1	Auto Solve	3419	41216	1170
1	Auto Restart	3494	42040	1994
1	Solver Tuning	3652	44403	4357
1	Agents Menu	4098	48935	8889
1	All agents hired	5882	57244	17198
1	Modifiers Menu	6270	58524	18478
1	All chip upgrades maxed	6423	59143	19097
1	All modifiers maxed (PPO gate)	6458	59318	19272
1	PPO bought	6497	59521	19475
1	PPO Normal mode	6503	70854	30808
1	Prestige #2	6504	79104	39058
2	First solver bought	6504	79104	0
2	Auto Solve	6504	79104	0
2	Auto Restart	6504	79104	0
2	Solver Tuning	6504	79104	0
2	Agents Menu	7075	85298	6194
2	All agents hired	8887	93741	14637
2	Modifiers Menu	9656	96134	17030
2	All chip upgrades maxed	9786	96638	17534
2	All modifiers maxed (PPO gate)	9822	96817	17713
2	PPO bought	9867	97048	17944
2	PPO Normal mode	9872	103761	24657
2	Prestige #3	9873	112213	33109
3	First solver bought	9873	112213	0
3	Auto Solve	9873	112213	0
3	Auto Restart	9873	112213	0
3	Solver Tuning	9873	112213	0
3	Agents Menu	10382	117431	5218
3	Modifiers Menu	11911	124640	12427
3	All agents hired	11963	124835	12622
3	All chip upgrades maxed	12070	125320	13107
3	All modifiers maxed (PPO gate)	12095	125447	13234
3	PPO bought	12129	125622	13409
3	PPO Normal mode	12133	130172	17959
3	Prestige #4	12134	138434	26221
4	First solver bought	12134	138434	0
4	Auto Solve	12134	138434	0
4	Auto Restart	12134	138434	0
4	Solver Tuning	12134	138434	0
4	Agents Menu	12372	140588	2154
4	All agents hired	13426	145476	7042
4	Modifiers Menu	13820	146705	8270
4	All chip upgrades maxed	13887	146969	8535
4	All modifiers maxed (PPO gate)	13905	147057	8623
4	PPO bought	13924	147156	8721
4	PPO Normal mode	13924	147156	8721
4	Prestige #5	13925	155432	16997
5	First solver bought	13925	155432	0
5	Auto Solve	13925	155432	0
5	Auto Restart	13925	155432	0
5	Solver Tuning	13925	155432	0
5	Agents Menu	14138	157380	1949
5	All agents hired	15143	162064	6633
5	Modifiers Menu	15590	163452	8020
5	All chip upgrades maxed	15645	163667	8236
5	All modifiers maxed (PPO gate)	15662	163753	8321
5	PPO bought	15681	163856	8424
5	PPO Normal mode	15681	163856	8424
5	Prestige #6	15682	172637	17205
6	First solver bought	15682	172637	0
6	Auto Solve	15682	172637	0
6	Auto Restart	15682	172637	0
