# Progression simulation
# runs=28011 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=25 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=220
# finalChips=0 totalEarned=500000 prestiges=25 insight=56767 cycleInsight=952 lifetimeInsight=614678 simSeconds=278332
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished
0	1	3398	0	33130	33130	1	False
1	3399	6498	33130	65337	32207	123	False
2	6499	9813	65337	93103	27767	382	False
3	9814	12049	93103	113972	20869	836	False
4	12050	14577	113972	133911	19939	1517	False
5	14578	17016	133911	150006	16095	2399	False
6	17017	18013	150006	158543	8537	2477	False
7	18014	18944	158543	166869	8326	2481	False
8	18945	19698	166869	174597	7728	2919	False
9	19699	20435	174597	181946	7349	2874	False
10	20436	21234	181946	189492	7547	2507	False
11	21235	21799	189492	196363	6871	2865	False
12	21800	22390	196363	203190	6827	2896	False
13	22391	23019	203190	209987	6797	2844	False
14	23020	23536	209987	216602	6615	3210	False
15	23537	24031	216602	223004	6401	2876	False
16	24032	24482	223004	229285	6281	3234	False
17	24483	24931	229285	235570	6285	3222	False
18	24932	25416	235570	241863	6293	3275	False
19	25417	25842	241863	247961	6097	2895	False
20	25843	26360	247961	254425	6464	3278	False
21	26361	26794	254425	260405	5980	2902	False
22	26795	27195	260405	266328	5923	2908	False
23	27196	27622	266328	272468	6140	3240	False
24	27623	28011	272468	278332	5864	2909	False

# Phases:
Cycle	Phase	Run	SimSeconds	CycleSeconds
0	First solver bought	9	557	557
0	Auto Solve	20	1223	1223
0	Auto Restart	97	2066	2066
0	Solver Tuning	249	4381	4381
0	Agents Menu	701	8949	8949
0	All agents hired	2472	17247	17247
0	Modifiers Menu	3199	19542	19542
0	All chip upgrades maxed	3321	20030	20030
0	All modifiers maxed (PPO gate)	3353	20192	20192
0	PPO bought	3391	20391	20391
0	PPO Normal mode	3397	29073	29073
0	Prestige #1	3398	33130	33130
1	First solver bought	3407	33699	569
1	Auto Solve	3417	34350	1220
1	Auto Restart	3491	35166	2036
1	Solver Tuning	3650	37537	4407
1	Agents Menu	4095	42064	8934
1	All agents hired	5878	50375	17245
1	Modifiers Menu	6265	51653	18523
1	All chip upgrades maxed	6414	52247	19117
1	All modifiers maxed (PPO gate)	6449	52415	19284
1	PPO bought	6491	52634	19504
1	PPO Normal mode	6497	61316	28186
1	Prestige #2	6498	65337	32207
2	First solver bought	6498	65337	0
2	Auto Solve	6498	65337	0
2	Auto Restart	6498	65337	0
2	Solver Tuning	6498	65337	0
2	Agents Menu	7023	70772	5435
2	All agents hired	8833	79206	13869
2	Modifiers Menu	9606	81617	16281
2	All chip upgrades maxed	9730	82099	16763
2	All modifiers maxed (PPO gate)	9765	82278	16941
2	PPO bought	9807	82495	17158
2	PPO Normal mode	9812	89072	23735
2	Prestige #3	9813	93103	27767
3	First solver bought	9813	93103	0
3	Auto Solve	9813	93103	0
3	Auto Restart	9813	93103	0
3	Solver Tuning	9813	93103	0
3	Agents Menu	10167	96442	3339
3	Modifiers Menu	11806	104143	11040
3	All agents hired	11862	104361	11258
3	All chip upgrades maxed	11983	104906	11803
3	All modifiers maxed (PPO gate)	12008	105033	11930
3	PPO bought	12044	105215	12111
3	PPO Normal mode	12048	109959	16856
3	Prestige #4	12049	113972	20869
4	First solver bought	12049	113972	0
4	Auto Solve	12049	113972	0
4	Auto Restart	12049	113972	0
4	Solver Tuning	12049	113972	0
4	Agents Menu	12398	117286	3313
4	All agents hired	13948	124534	10562
4	Modifiers Menu	14416	126038	12066
4	All chip upgrades maxed	14514	126433	12461
4	All modifiers maxed (PPO gate)	14544	126576	12604
4	PPO bought	14573	126730	12757
4	PPO Normal mode	14576	129792	15820
4	Prestige #5	14577	133911	19939
5	First solver bought	14577	133911	0
5	Auto Solve	14577	133911	0
5	Auto Restart	14577	133911	0
5	Solver Tuning	14577	133911	0
5	Datacenter unlocked	14577	133911	0
5	Agents Menu	14688	135125	1213
5	All agents hired	16185	141998	8087
5	Modifiers Menu	16766	143827	9916
5	All chip upgrades maxed	16844	144145	10234
