# Progression simulation
# runs=20000 seed=12345 moveCap=1000 manualProxy=Rand manualSecPerMove=1 manualRestartSec=5 stopAtPpo=False simulateResearch=True targetPrestiges=10 ppoNormalRunsPerPrestige=500 ppoTrainingMovesPerRun=150
# finalChips=4045308 totalEarned=103226808 prestiges=4 insight=29 cycleInsight=0 lifetimeInsight=540 simSeconds=151608
# Cycles:
Cycle	StartRun	EndRun	StartSeconds	EndSeconds	DurationSeconds	InsightGained	Unfinished	IncomeMix
0	1	4905	0	39112	39112	1	False	placement 0,1% | merge 14,1% | new high 2,5% | combo 6,5% | run bonus 32,4% | salvage 2,4% | passive 42,0%
1	4906	9660	39112	75641	36528	111	False	placement 0,1% | merge 13,8% | new high 2,4% | combo 6,3% | run bonus 32,6% | salvage 2,4% | passive 42,3%
2	9661	14412	75641	111272	35631	176	False	placement 0,1% | merge 13,9% | new high 2,4% | combo 6,4% | run bonus 32,5% | salvage 2,4% | passive 42,3%
3	14413	19158	111272	146543	35271	252	False	placement 0,1% | merge 13,6% | new high 2,3% | combo 6,1% | run bonus 32,6% | salvage 2,4% | passive 42,9%
4	19159	20000	146543	151608	5065	0	True	placement 1,5% | merge 8,1% | new high 14,6% | combo 5,9% | run bonus 15,5% | salvage 6,8% | passive 47,5%

# Phases:
Cycle	Phase	Run	SimSeconds	CycleSeconds
0	First solver bought	9	557	557
0	Auto Solve	20	1223	1223
0	Auto Restart	128	2172	2172
0	Solver Tuning	232	3601	3601
0	Agents Menu	554	6344	6344
0	All chip upgrades maxed	1275	9132	9132
0	All agents hired	1301	9207	9207
0	Modifiers Menu	1336	9308	9308
0	All modifiers maxed (PPO gate)	4488	21637	21637
0	PPO bought	4898	23826	23826
0	PPO Normal mode	4904	35160	35160
0	Prestige #1	4905	39112	39112
1	First solver bought	4905	39112	0
1	Auto Solve	4905	39112	0
1	Auto Restart	4905	39112	0
1	Solver Tuning	4966	39959	847
1	Agents Menu	5287	42693	3581
1	All chip upgrades maxed	6011	45484	6372
1	All agents hired	6037	45559	6447
1	Modifiers Menu	6072	45662	6550
1	All modifiers maxed (PPO gate)	9216	57948	18835
1	PPO bought	9653	60249	21136
1	PPO Normal mode	9659	71582	32470
1	Prestige #2	9660	75641	36528
2	First solver bought	9660	75641	0
2	Auto Solve	9660	75641	0
2	Auto Restart	9660	75641	0
2	Solver Tuning	9722	76500	860
2	Agents Menu	10051	79267	3626
2	All chip upgrades maxed	10766	82020	6379
2	All agents hired	10794	82101	6461
2	Modifiers Menu	10830	82208	6568
2	All modifiers maxed (PPO gate)	13977	94504	18863
2	PPO bought	14405	96772	21132
2	PPO Normal mode	14411	107199	31558
2	Prestige #3	14412	111272	35631
3	First solver bought	14412	111272	0
3	Auto Solve	14412	111272	0
3	Auto Restart	14412	111272	0
3	Solver Tuning	14433	111568	296
3	Agents Menu	14758	114316	3044
3	All chip upgrades maxed	15482	117093	5821
3	All agents hired	15510	117172	5901
3	Modifiers Menu	15544	117271	6000
3	All modifiers maxed (PPO gate)	18699	129650	18378
3	PPO bought	19151	132056	20784
3	PPO Normal mode	19157	142482	31211
3	Prestige #4	19158	146543	35271
4	First solver bought	19158	146543	0
4	Auto Solve	19158	146543	0
4	Auto Restart	19158	146543	0
4	Solver Tuning	19178	146762	220
4	Agents Menu	19501	149441	2898

# Purchases:
Run	SimSeconds	Key	Label	Cost	Currency	BalanceAfter	TotalEarnedAfter
9	557	Solver.RAND	Solver RAND	1000	chips	5	1005
20	1223	Unlock.AutoSolve	Auto Solve	1200	chips	33	2233
54	1479	Upgrade.ChipYield	Chip Yield	4000	chips	44	6244
80	1676	Upgrade.PassiveYield	Passive Yield L1	5000	chips	389	11589
92	1768	Upgrade.ActiveMultiplier	Active Multiplier L1	4000	chips	221	15421
110	1905	Solver.BAL	Solver BAL	6000	chips	100	21300
115	1990	Upgrade.Speed	Speed L1	6000	chips	983	28183
121	2080	Upgrade.PassiveTickRate	Passive Tick Rate L1	7000	chips	1541	35741
128	2172	Unlock.AutoRestart	Auto Restart	8000	chips	808	43008
136	2289	Upgrade.ChipYield	Chip Yield	10000	chips	913	53113
143	2386	Upgrade.ActiveMultiplier	Active Multiplier L2	10000	chips	419	62619
152	2506	Upgrade.Speed	Speed L2	12000	chips	20	74220
161	2618	Upgrade.StackCapacity	Stack Cap L1	12000	chips	773	86973
168	2715	Upgrade.PassiveYield	Passive Yield L2	12000	chips	741	98941
174	2799	Upgrade.PassiveTickRate	Passive Tick Rate L2	14000	chips	255	112455
182	2906	Upgrade.ComboEngine	Combo Engine L1	15000	chips	1472	128672
191	3024	Upgrade.ActiveMultiplier	Active Multiplier L3	20000	chips	214	147414
202	3179	Upgrade.ChipYield	Chip Yield	25000	chips	2477	174677
211	3297	Upgrade.PassiveYield	Passive Yield L3	25000	chips	1598	198798
219	3401	Upgrade.SalvageProtocol	Salvage Protocol L1	25000	chips	2823	225023
225	3489	Solver.HEUR	Solver HEUR	30000	chips	73	252273
232	3601	Unlock.SolverTuning	Solver Tuning	30000	chips	2954	285154
239	3708	Upgrade.Speed	Speed L3	30000	chips	3309	315509
246	3803	Upgrade.PassiveTickRate	Passive Tick Rate L3	30000	chips	4463	346663
251	3875	Upgrade.ComboEngine	Combo Engine L2	30000	chips	823	373023
261	4005	TokenPack	Token Pack	10000	chips	31057	413257
265	4042	Upgrade.PassiveYield	Passive Yield L4	46000	chips	279	428479
274	4133	TokenPack	Token Pack	10700	chips	37696	476596
278	4169	TokenPack	Token Pack	12300	chips	42349	493549
280	4188	Upgrade.ActiveMultiplier	Active Multiplier L4	50000	chips	1525	502725
289	4277	Upgrade.SalvageProtocol	Salvage Protocol L2	50000	chips	756	551956
298	4365	TokenPack	Token Pack	12300	chips	39741	603241
300	4384	Upgrade.TokenDividend	Token Dividend L1	50000	chips	401	613901
311	4491	Upgrade.Speed	Speed L4	60000	chips	6588	680088
320	4563	TokenPack	Token Pack	12100	chips	39380	724980
325	4601	Upgrade.Difficulty	Difficulty L1	60000	chips	2680	748280
337	4694	TokenPack	Token Pack	12400	chips	50567	808567
339	4712	Upgrade.ProfitableEnding	Profitable Ending L1	60000	chips	2797	820797
351	4804	Upgrade.PassiveTickRate	Passive Tick Rate L4	60000	chips	745	878745
360	4874	TokenPack	Token Pack	12100	chips	38591	928691
364	4906	Upgrade.ComboEngine	Combo Engine L3	60000	chips	3183	953283
375	4995	Upgrade.ChipYield	Chip Yield	62000	chips	4178	1016278
382	5051	TokenPack	Token Pack	11900	chips	41243	1065243
387	5088	Upgrade.StackCapacity	Stack Cap L2	70000	chips	1218	1095218
397	5174	TokenPack	Token Pack	12400	chips	57533	1163933
403	5222	Upgrade.ScalingFrequency	Scaling Frequency L1	90000	chips	4566	1200966
416	5336	Upgrade.PassiveYield	Passive Yield L5	96000	chips	6754	1299154
